rating,date,content
5.0,2025.01.18.,명동교자야 뭐 두말하면 잔소리죠 ㅎㅎ시장통 같지만 어쩔수없고요 ㅋ
3.0,2025.01.17.,위치 옮겨서 더 좋음. 빠른 회전. 맛은 늘 그 맛
3.0,2025.01.17.,면이 너무 흐물흐물해요 ㅜㅜ 만두랑 김치는 맛있음
5.0,2025.01.18.,명동교자야 뭐 두말하면 잔소리죠 ㅎㅎ시장통 같지만 어쩔수없고요 ㅋ
3.0,2025.01.17.,위치 옮겨서 더 좋음. 빠른 회전. 맛은 늘 그 맛
3.0,2025.01.17.,면이 너무 흐물흐물해요 ㅜㅜ 만두랑 김치는 맛있음
2.0,2025.01.15.,"칼국수만 3점!비빔국수 1점, 만두 2점칼국수만 맛있어요! 참기름맛나는 만두는 호불호 갈릴것같고 비빔국수는 완전 비추다시 생각나는 맛까진아니고 가끔지나가다 칼국수 먹고싶으면 와서 한번 칼국수만 먹을정도의 맛이에요!"
4.0,2025.01.14.,오로지맛.하나만보고갑니다.직원은쓸데없이만아서.돗떼기시장도.아니고.좌석쫖은건이해를하다만.손님은전부.코박고먹기만하는데.직원들이더난리부루스.
3.0,2025.01.14.,맛은 있음. 불맛+마늘맛. 근데 진짜 너무 시끄럽고 회전율때문에 합석이 필수라 모르는 사람하고 같이 먹어야 됨. 그리고 식탁은 안 닦는게 분명.. 노포라고 흐린 눈 하려해도 식탁이 지나치게 끈적거림.
3.0,2025.01.14.,본점은 괜찮은데 공사중이라 같은 골목2호점인가 갔는데 2층에 아저씨가 불친절하고 주문건도 까먹어요직원들이 실장이라 부르던데 밥하나 달라고 했는데 까먹었더라구요 김치 더달라니까  개귀찮아함 일본어를 할줄 아는가본데 일본인 여자 혼자 왔는데 안해도 되는 응대를 쓸데없이 일본어로함 ㅎㅎ 사실 이부분이 개웃긴 대목인데. 김치 더주세여 하면 대답도 없이 귀찮게 갖다주면서 일본인이 물병을 들며 더 달라고하자 하이!하더니 갖다줄때도 고래~!라고 해서 개웃김 일어하는거 자꾸 티내고싶어하는듯  한국인손님한테도 그런스탈이면 내가 이런말 안할텐데..우리한텐 아무말않고 틱놓고 가더니 일본인한텐 쓸데없이 고래~~!아 웃겨 ㅋㅋ 또생각하니 진짜웃김ㅋ
1.0,2025.01.14.,"최악 최악 최악. 호평들은 알바인가?!오로지 매출만을 위한 식당. 회전율을 위해 음식들 다 미리 준비시켜놓음. 면 팅팅 불어 나오고, 국물은 식어있음. 만두는 수분기 다 날아가 있고.직원들도 다 지쳐보여 응대가 살갑지는 못함.먹고 가족 분위기 싸해짐.절대 비추!!!"
5.0,2025.01.18.,명동교자야 뭐 두말하면 잔소리죠 ㅎㅎ시장통 같지만 어쩔수없고요 ㅋ
3.0,2025.01.17.,위치 옮겨서 더 좋음. 빠른 회전. 맛은 늘 그 맛
3.0,2025.01.17.,면이 너무 흐물흐물해요 ㅜㅜ 만두랑 김치는 맛있음
2.0,2025.01.15.,"칼국수만 3점!비빔국수 1점, 만두 2점칼국수만 맛있어요! 참기름맛나는 만두는 호불호 갈릴것같고 비빔국수는 완전 비추다시 생각나는 맛까진아니고 가끔지나가다 칼국수 먹고싶으면 와서 한번 칼국수만 먹을정도의 맛이에요!"
4.0,2025.01.14.,오로지맛.하나만보고갑니다.직원은쓸데없이만아서.돗떼기시장도.아니고.좌석쫖은건이해를하다만.손님은전부.코박고먹기만하는데.직원들이더난리부루스.
3.0,2025.01.14.,맛은 있음. 불맛+마늘맛. 근데 진짜 너무 시끄럽고 회전율때문에 합석이 필수라 모르는 사람하고 같이 먹어야 됨. 그리고 식탁은 안 닦는게 분명.. 노포라고 흐린 눈 하려해도 식탁이 지나치게 끈적거림.
3.0,2025.01.14.,본점은 괜찮은데 공사중이라 같은 골목2호점인가 갔는데 2층에 아저씨가 불친절하고 주문건도 까먹어요직원들이 실장이라 부르던데 밥하나 달라고 했는데 까먹었더라구요 김치 더달라니까  개귀찮아함 일본어를 할줄 아는가본데 일본인 여자 혼자 왔는데 안해도 되는 응대를 쓸데없이 일본어로함 ㅎㅎ 사실 이부분이 개웃긴 대목인데. 김치 더주세여 하면 대답도 없이 귀찮게 갖다주면서 일본인이 물병을 들며 더 달라고하자 하이!하더니 갖다줄때도 고래~!라고 해서 개웃김 일어하는거 자꾸 티내고싶어하는듯  한국인손님한테도 그런스탈이면 내가 이런말 안할텐데..우리한텐 아무말않고 틱놓고 가더니 일본인한텐 쓸데없이 고래~~!아 웃겨 ㅋㅋ 또생각하니 진짜웃김ㅋ
1.0,2025.01.14.,"최악 최악 최악. 호평들은 알바인가?!오로지 매출만을 위한 식당. 회전율을 위해 음식들 다 미리 준비시켜놓음. 면 팅팅 불어 나오고, 국물은 식어있음. 만두는 수분기 다 날아가 있고.직원들도 다 지쳐보여 응대가 살갑지는 못함.먹고 가족 분위기 싸해짐.절대 비추!!!"
4.0,2025.01.13.,"명동역에 위치한 ""명동교자""너무유명한곳이라 외국인 내국인 웨이팅 엄청길지만 회전도빨랐어요저희는 칼국수랑 만두 먹었는데깔끔하고맛있었어요마늘 많이들어간 김치는 제스타일이라 너무좋았구요웨이팅은 길지만 남편이 여름에 콩국수도 먹으러오자구하더라구요👍👍👍"
1.0,2025.01.12.,저는 바퀴벌레 나오는게 맘에 안드는거에요 같은 유명한 닭칼집들인 일칼 본점이나 구리 잉꼬에서는 적어도 바퀴벌레는 안나왔어요 이게 팩트임 저는 먹고 싶지 않음
5.0,2025.01.12.,
5.0,2025.01.12.,20년 넘게 가는 곳.  흔들리지 않고 옛맛 그대로 고수 하면서 지점도 마구 내지 않는 곳. 여기를 별 1개 주는 사람들은 어디서 뭘 먹어도 맘에 안드실듯
1.0,2025.01.11.,절대 안 감
5.0,2025.01.18.,명동교자야 뭐 두말하면 잔소리죠 ㅎㅎ시장통 같지만 어쩔수없고요 ㅋ
3.0,2025.01.17.,위치 옮겨서 더 좋음. 빠른 회전. 맛은 늘 그 맛
3.0,2025.01.17.,면이 너무 흐물흐물해요 ㅜㅜ 만두랑 김치는 맛있음
2.0,2025.01.15.,"칼국수만 3점!비빔국수 1점, 만두 2점칼국수만 맛있어요! 참기름맛나는 만두는 호불호 갈릴것같고 비빔국수는 완전 비추다시 생각나는 맛까진아니고 가끔지나가다 칼국수 먹고싶으면 와서 한번 칼국수만 먹을정도의 맛이에요!"
4.0,2025.01.14.,오로지맛.하나만보고갑니다.직원은쓸데없이만아서.돗떼기시장도.아니고.좌석쫖은건이해를하다만.손님은전부.코박고먹기만하는데.직원들이더난리부루스.
3.0,2025.01.14.,맛은 있음. 불맛+마늘맛. 근데 진짜 너무 시끄럽고 회전율때문에 합석이 필수라 모르는 사람하고 같이 먹어야 됨. 그리고 식탁은 안 닦는게 분명.. 노포라고 흐린 눈 하려해도 식탁이 지나치게 끈적거림.
3.0,2025.01.14.,본점은 괜찮은데 공사중이라 같은 골목2호점인가 갔는데 2층에 아저씨가 불친절하고 주문건도 까먹어요직원들이 실장이라 부르던데 밥하나 달라고 했는데 까먹었더라구요 김치 더달라니까  개귀찮아함 일본어를 할줄 아는가본데 일본인 여자 혼자 왔는데 안해도 되는 응대를 쓸데없이 일본어로함 ㅎㅎ 사실 이부분이 개웃긴 대목인데. 김치 더주세여 하면 대답도 없이 귀찮게 갖다주면서 일본인이 물병을 들며 더 달라고하자 하이!하더니 갖다줄때도 고래~!라고 해서 개웃김 일어하는거 자꾸 티내고싶어하는듯  한국인손님한테도 그런스탈이면 내가 이런말 안할텐데..우리한텐 아무말않고 틱놓고 가더니 일본인한텐 쓸데없이 고래~~!아 웃겨 ㅋㅋ 또생각하니 진짜웃김ㅋ
